timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
62423401,0.0,-0.0,-0.0163932,0.0,0.999966,0.0,-0.0,-0.00819648,0.0,-1.0,1,0,0,0,0,0,0
62521340,0.0,-0.0,-0.0153098,0.0,0.999971,0.0,-0.0,-0.0076548,0.0,-1.0,1,0,0,0,0,0,0
62627188,0.0,-0.0,-0.0144652,0.0,0.999974,0.0,-0.0,-0.00723255,0.0,-1.0,1,0,0,0,0,0,0
62730256,0.0,-0.0,-0.0139639,0.0,0.999976,0.0,-0.0,-0.00698192,0.0,-1.0,1,0,0,0,0,0,0
62832821,0.0,-0.0,-0.0134873,0.0,0.999977,0.0,-0.0,-0.00674358,0.0,-1.0,1,0,0,0,0,0,0
62930898,0.0,-0.0,-0.01324,0.0,0.999978,0.0,-0.0,-0.00661997,0.0,-1.0,1,0,0,0,0,0,0
63034924,0.0,-0.0,-0.0126331,0.0,0.99998,0.0,-0.0,-0.00631653,0.0,-1.0,1,0,0,0,0,0,0
63134259,0.0,-0.0,-0.0120578,0.0,0.999982,0.0,-0.0,-0.00602888,0.0,-1.0,1,0,0,0,0,0,0
63238037,0.0,-0.0,-0.011399,0.0,0.999984,0.0,-0.0,-0.00569947,0.0,-1.0,1,0,0,0,0,0,0
63339743,0.0,-0.0,-0.0109958,0.0,0.999985,0.0,-0.0,-0.00549789,0.0,-1.0,1,0,0,0,0,0,0
63442422,0.0,-0.0,-0.0106349,0.0,0.999986,0.0,-0.0,-0.00531745,0.0,-1.0,1,0,0,0,0,0,0
63543065,0.0,-0.0,-0.0101783,0.0,0.999987,0.0,-0.0,-0.00508915,0.0,-1.0,1,0,0,0,0,0,0
63643826,0.0,-0.0,-0.0099061,0.0,0.999988,0.0,-0.0,-0.00495303,0.0,-1.0,1,0,0,0,0,0,0
63742044,0.0,-0.0,-0.0094308,0.0,0.999989,0.0,-0.0,-0.00471538,0.0,-1.0,1,0,0,0,0,0,0
63845222,0.0,-0.0,-0.00928062,0.0,0.999989,0.0,-0.0,-0.00464029,0.0,-1.0,1,0,0,0,0,0,0
