timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_flip_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
62189879,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
63193610,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64197511,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65200493,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66211500,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67224037,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68233715,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69236462,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70240445,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71243730,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72247210,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73257516,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74259213,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75263230,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76272522,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76744438,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77749428,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78755385,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79763449,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80768464,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81773421,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82776645,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83783466,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84787467,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85076461,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86083293,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
87091385,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
88092240,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
89095211,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
90095265,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
91104474,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
92113422,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
93117490,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
94123281,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
95124810,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
96125474,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
97129680,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
97980633,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
98989479,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
99996429,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
101008775,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102012459,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103018448,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
104024922,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
105032336,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
